Requirement already satisfied: torch in /zhome/09/9/144141/.local/lib/python3.8/site-packages (1.7.0)
Requirement already satisfied: matplotlib in /zhome/09/9/144141/.local/lib/python3.8/site-packages (3.3.3)
Requirement already satisfied: procgen in /zhome/09/9/144141/.local/lib/python3.8/site-packages (0.10.4)
Requirement already satisfied: gym in /zhome/09/9/144141/.local/lib/python3.8/site-packages (0.17.3)
Requirement already satisfied: future in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (0.18.2)
Requirement already satisfied: dataclasses in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (0.6)
Requirement already satisfied: numpy in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (1.19.4)
Requirement already satisfied: typing-extensions in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (3.7.4.3)
Requirement already satisfied: kiwisolver>=1.0.1 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (1.3.1)
Requirement already satisfied: pillow>=6.2.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (8.0.1)
Requirement already satisfied: pyparsing!=2.0.4,!=2.1.2,!=2.1.6,>=2.0.3 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (2.4.7)
Requirement already satisfied: python-dateutil>=2.1 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (2.8.1)
Requirement already satisfied: cycler>=0.10 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (0.10.0)
Requirement already satisfied: filelock<4.0.0,>=3.0.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from procgen) (3.0.12)
Requirement already satisfied: gym3<1.0.0,>=0.3.3 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from procgen) (0.3.3)
Requirement already satisfied: scipy in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.5.4)
Requirement already satisfied: pyglet<=1.5.0,>=1.4.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.5.0)
Requirement already satisfied: cloudpickle<1.7.0,>=1.2.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.6.0)
Requirement already satisfied: six>=1.5 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from python-dateutil>=2.1->matplotlib) (1.15.0)
Requirement already satisfied: glfw<2.0.0,>=1.8.6 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (1.12.0)
Requirement already satisfied: imageio-ffmpeg<0.4.0,>=0.3.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (0.3.0)
Requirement already satisfied: cffi<2.0.0,>=1.13.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (1.14.4)
Requirement already satisfied: moderngl<6.0.0,>=5.5.4 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (5.6.2)
Requirement already satisfied: imageio<3.0.0,>=2.6.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (2.9.0)
Requirement already satisfied: pycparser in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from cffi<2.0.0,>=1.13.0->gym3<1.0.0,>=0.3.3->procgen) (2.20)
Requirement already satisfied: glcontext<3,>=2 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from moderngl<6.0.0,>=5.5.4->gym3<1.0.0,>=0.3.3->procgen) (2.2.0)
Run name sd_n_na_cr
Encoder used Nature
Augumentation used none
Mixreg? False
Game coinrun
Observation space: Box(0.0, 1.0, (3, 64, 64), float32)
Action space: 15
Embrace Nature!
Step: 8192	Mean reward: 0.625, 	Mean reward done: 0.3125
Estimated time of completion: 7.85679562896904 hours
Step: 16384	Mean reward: 0.9375, 	Mean reward done: 0.46875
Step: 24576	Mean reward: 1.875, 	Mean reward done: 0.9375
Step: 32768	Mean reward: 1.5625, 	Mean reward done: 0.6770833134651184
Step: 40960	Mean reward: 1.25, 	Mean reward done: 0.625
Step: 49152	Mean reward: 7.1875, 	Mean reward done: 2.6041667461395264
Step: 57344	Mean reward: 9.375, 	Mean reward done: 3.0729167461395264
Step: 65536	Mean reward: 10.0, 	Mean reward done: 3.59375
Step: 73728	Mean reward: 11.25, 	Mean reward done: 3.6979167461395264
Step: 81920	Mean reward: 15.9375, 	Mean reward done: 4.0885419845581055
Step: 90112	Mean reward: 16.25, 	Mean reward done: 4.192708492279053
Step: 98304	Mean reward: 15.625, 	Mean reward done: 3.921875
Step: 106496	Mean reward: 17.8125, 	Mean reward done: 4.598958492279053
Step: 114688	Mean reward: 21.875, 	Mean reward done: 4.890625
Step: 122880	Mean reward: 25.0, 	Mean reward done: 5.1316962242126465
Step: 131072	Mean reward: 25.9375, 	Mean reward done: 5.124999523162842
Step: 139264	Mean reward: 27.1875, 	Mean reward done: 4.964781284332275
Step: 147456	Mean reward: 26.875, 	Mean reward done: 5.037574768066406
Step: 155648	Mean reward: 30.0, 	Mean reward done: 4.949777126312256
Step: 163840	Mean reward: 30.3125, 	Mean reward done: 5.08048152923584
Step: 172032	Mean reward: 33.75, 	Mean reward done: 5.519097328186035
Step: 180224	Mean reward: 33.75, 	Mean reward done: 5.077877998352051
Step: 188416	Mean reward: 34.6875, 	Mean reward done: 5.2120537757873535
Step: 196608	Mean reward: 35.3125, 	Mean reward done: 5.170262813568115
Step: 204800	Mean reward: 35.625, 	Mean reward done: 5.470734119415283
Step: 212992	Mean reward: 44.0625, 	Mean reward done: 5.973958969116211
Step: 221184	Mean reward: 43.4375, 	Mean reward done: 6.081472873687744
Step: 229376	Mean reward: 43.125, 	Mean reward done: 6.126984119415283
Step: 237568	Mean reward: 42.5, 	Mean reward done: 6.015873432159424
Step: 245760	Mean reward: 41.5625, 	Mean reward done: 6.155878067016602
Step: 253952	Mean reward: 47.8125, 	Mean reward done: 6.57539701461792
Step: 262144	Mean reward: 43.75, 	Mean reward done: 5.962549686431885
Step: 270336	Mean reward: 47.5, 	Mean reward done: 6.277111530303955
Step: 278528	Mean reward: 42.5, 	Mean reward done: 6.136160373687744
Step: 286720	Mean reward: 46.25, 	Mean reward done: 6.328042030334473
Step: 294912	Mean reward: 41.25, 	Mean reward done: 6.208255290985107
Step: 303104	Mean reward: 45.0, 	Mean reward done: 5.991689205169678
Step: 311296	Mean reward: 44.6875, 	Mean reward done: 6.231065273284912
Step: 319488	Mean reward: 45.9375, 	Mean reward done: 6.259527206420898
Step: 327680	Mean reward: 50.625, 	Mean reward done: 6.3585052490234375
Step: 335872	Mean reward: 43.4375, 	Mean reward done: 6.50287389755249
Step: 344064	Mean reward: 49.375, 	Mean reward done: 6.441819667816162
Step: 352256	Mean reward: 48.75, 	Mean reward done: 6.268523216247559
Step: 360448	Mean reward: 51.25, 	Mean reward done: 6.109955310821533
Step: 368640	Mean reward: 49.6875, 	Mean reward done: 6.0873847007751465
Step: 376832	Mean reward: 44.0625, 	Mean reward done: 5.987699508666992
Step: 385024	Mean reward: 46.25, 	Mean reward done: 6.063564300537109
Step: 393216	Mean reward: 46.875, 	Mean reward done: 5.925502300262451
Step: 401408	Mean reward: 46.875, 	Mean reward done: 5.965160369873047
Step: 409600	Mean reward: 48.4375, 	Mean reward done: 6.202237129211426
Step: 417792	Mean reward: 39.0625, 	Mean reward done: 5.610189437866211
Step: 425984	Mean reward: 45.625, 	Mean reward done: 5.897636890411377
Step: 434176	Mean reward: 53.75, 	Mean reward done: 6.253281593322754
